[2025-06-04 16:15:38] Service: HTTPS | 10.21.0.60:53361 -> 99.83.165.34:443 | PID: 16528 (Cursor.exe)
[2025-06-04 16:15:43] Service: HTTPS | 10.21.0.60:53377 -> 104.16.0.35:443 | PID: 14256 (node.exe)
[2025-06-04 16:15:43] Service: HTTPS | 10.21.0.60:53376 -> 104.16.0.35:443 | PID: 14256 (node.exe)
[2025-06-04 16:15:53] Service: HTTPS | 10.21.0.60:53404 -> 52.182.143.211:443 | PID: 16528 (Cursor.exe)
[2025-06-04 16:16:03] Service: HTTPS | 10.21.0.60:53430 -> 107.20.191.65:443 | PID: 15876 (Cursor.exe)
[2025-06-04 16:16:03] Service: HTTPS | 10.21.0.60:53424 -> 104.18.19.125:443 | PID: 15876 (Cursor.exe)
[2025-06-04 16:16:08] Service: HTTPS | 10.21.0.60:53453 -> 35.71.162.24:443 | PID: 15876 (Cursor.exe)
[2025-06-04 16:16:08] Service: HTTPS | 10.21.0.60:53445 -> 75.2.76.8:443 | PID: 15876 (Cursor.exe)
[2025-06-04 16:16:14] Service: HTTPS | 10.21.0.60:53472 -> 107.20.191.65:443 | PID: 15876 (Cursor.exe)
[2025-06-04 16:16:24] Service: HTTPS | 10.21.0.60:53490 -> 18.134.215.41:443 | PID: 14928 (slack.exe)
[2025-06-04 16:16:24] Service: HTTPS | 10.21.0.60:53498 -> 140.82.112.22:443 | PID: 15876 (Cursor.exe)
