[2025-05-20 19:15:59] Sent: 0.02 MB, Received: 0.13 MB, Total: 0.15 MB
[2025-05-20 19:16:04] Sent: 0.02 MB, Received: 0.34 MB, Total: 0.37 MB
[2025-05-20 19:16:09] Sent: 0.02 MB, Received: 0.28 MB, Total: 0.30 MB
[2025-05-20 19:16:14] Sent: 0.02 MB, Received: 0.26 MB, Total: 0.28 MB
[2025-05-20 19:16:19] Sent: 0.02 MB, Received: 0.40 MB, Total: 0.42 MB
[2025-05-20 19:16:24] Sent: 0.10 MB, Received: 0.26 MB, Total: 0.37 MB
[2025-05-20 19:16:29] Sent: 0.03 MB, Received: 0.22 MB, Total: 0.24 MB
[2025-05-20 19:16:34] Sent: 0.03 MB, Received: 0.29 MB, Total: 0.32 MB
[2025-05-20 19:16:39] Sent: 0.02 MB, Received: 0.25 MB, Total: 0.27 MB
[2025-05-20 19:16:44] Sent: 0.04 MB, Received: 0.23 MB, Total: 0.27 MB
[2025-05-20 19:16:49] Sent: 0.02 MB, Received: 0.27 MB, Total: 0.29 MB
[2025-05-20 19:16:54] Sent: 0.02 MB, Received: 0.17 MB, Total: 0.20 MB
[2025-05-20 19:16:59] Sent: 0.04 MB, Received: 0.19 MB, Total: 0.23 MB
[2025-05-20 19:17:04] Sent: 0.06 MB, Received: 0.27 MB, Total: 0.34 MB
[2025-05-20 19:17:09] Sent: 0.02 MB, Received: 0.24 MB, Total: 0.27 MB
[2025-05-20 19:17:14] Sent: 0.03 MB, Received: 0.24 MB, Total: 0.27 MB
[2025-05-20 19:17:19] Sent: 0.02 MB, Received: 0.27 MB, Total: 0.28 MB
[2025-05-20 19:17:24] Sent: 0.02 MB, Received: 0.39 MB, Total: 0.42 MB
[2025-05-20 19:17:29] Sent: 0.02 MB, Received: 0.17 MB, Total: 0.20 MB
[2025-05-20 19:17:34] Sent: 0.02 MB, Received: 0.19 MB, Total: 0.21 MB
[2025-05-20 19:17:39] Sent: 0.03 MB, Received: 0.17 MB, Total: 0.20 MB
[2025-05-20 19:17:44] Sent: 0.07 MB, Received: 0.30 MB, Total: 0.37 MB
[2025-05-20 19:17:49] Sent: 0.02 MB, Received: 0.28 MB, Total: 0.31 MB
[2025-05-20 19:17:54] Sent: 0.02 MB, Received: 0.18 MB, Total: 0.19 MB
[2025-05-20 19:17:59] Sent: 0.02 MB, Received: 0.14 MB, Total: 0.16 MB
[2025-05-20 19:18:04] Sent: 0.03 MB, Received: 0.17 MB, Total: 0.20 MB
[2025-05-20 19:18:09] Sent: 0.04 MB, Received: 0.25 MB, Total: 0.29 MB
[2025-05-20 19:18:14] Sent: 0.07 MB, Received: 0.20 MB, Total: 0.27 MB
[2025-05-20 19:18:19] Sent: 0.02 MB, Received: 0.17 MB, Total: 0.19 MB
[2025-05-20 19:18:24] Sent: 0.04 MB, Received: 0.22 MB, Total: 0.26 MB
[2025-05-20 19:18:29] Sent: 0.06 MB, Received: 0.36 MB, Total: 0.42 MB
[2025-05-20 19:18:34] Sent: 0.04 MB, Received: 0.22 MB, Total: 0.27 MB
[2025-05-20 19:18:39] Sent: 0.04 MB, Received: 0.26 MB, Total: 0.30 MB
[2025-05-20 19:18:44] Sent: 0.02 MB, Received: 0.22 MB, Total: 0.24 MB
[2025-05-20 19:18:49] Sent: 0.02 MB, Received: 0.20 MB, Total: 0.22 MB
[2025-05-20 19:18:54] Sent: 0.08 MB, Received: 0.32 MB, Total: 0.40 MB
[2025-05-20 19:18:59] Sent: 0.02 MB, Received: 0.11 MB, Total: 0.13 MB
[2025-05-20 19:19:04] Sent: 0.02 MB, Received: 0.27 MB, Total: 0.29 MB
[2025-05-20 19:19:09] Sent: 0.13 MB, Received: 0.32 MB, Total: 0.44 MB
[2025-05-20 19:19:14] Sent: 0.11 MB, Received: 0.21 MB, Total: 0.32 MB
[2025-05-20 19:19:19] Sent: 0.02 MB, Received: 0.15 MB, Total: 0.17 MB
[2025-05-20 19:19:24] Sent: 0.02 MB, Received: 0.19 MB, Total: 0.20 MB
[2025-05-20 19:19:29] Sent: 0.01 MB, Received: 0.12 MB, Total: 0.13 MB
[2025-05-20 19:19:34] Sent: 0.01 MB, Received: 0.12 MB, Total: 0.13 MB
[2025-05-20 19:19:39] Sent: 0.01 MB, Received: 0.10 MB, Total: 0.11 MB
[2025-05-20 19:19:44] Sent: 0.02 MB, Received: 0.21 MB, Total: 0.23 MB
[2025-05-20 19:19:49] Sent: 0.02 MB, Received: 0.11 MB, Total: 0.13 MB
[2025-05-20 19:19:54] Sent: 0.02 MB, Received: 0.12 MB, Total: 0.14 MB
[2025-05-20 19:19:59] Sent: 0.02 MB, Received: 0.21 MB, Total: 0.23 MB
[2025-05-20 19:20:04] Sent: 0.02 MB, Received: 0.24 MB, Total: 0.26 MB
[2025-05-20 19:20:09] Sent: 0.04 MB, Received: 0.14 MB, Total: 0.17 MB
[2025-05-20 19:20:14] Sent: 0.02 MB, Received: 0.26 MB, Total: 0.28 MB
[2025-05-20 19:20:19] Sent: 0.02 MB, Received: 0.16 MB, Total: 0.18 MB
[2025-05-20 19:20:24] Sent: 0.02 MB, Received: 0.26 MB, Total: 0.28 MB
[2025-05-20 19:20:29] Sent: 0.02 MB, Received: 0.30 MB, Total: 0.32 MB
